Country,ISO3 Code,Date,Price (EUR/MWhe)
Austria,AUT,01/01/2015,29.94
Belgium,BEL,01/01/2015,42.33
Czechia,CZE,01/01/2015,29.47
Denmark,DNK,01/01/2015,27.12
Estonia,EST,01/01/2015,33.84
Finland,FIN,01/01/2015,33.81
France,FRA,01/01/2015,40.94
Germany,DEU,01/01/2015,29.94
Greece,GRC,01/01/2015,61.41
Hungary,HUN,01/01/2015,42.16
Italy,ITA,01/01/2015,50.84
Latvia,LVA,01/01/2015,39.78
Lithuania,LTU,01/01/2015,39.61
Luxembourg,LUX,01/01/2015,29.94
Netherlands,NLD,01/01/2015,40.51
Norway,NOR,01/01/2015,29.19
Poland,POL,01/01/2015,33.53
Portugal,PRT,01/01/2015,51.77
Romania,ROU,01/01/2015,39.8
Slovakia,SVK,01/01/2015,31.26
Slovenia,SVN,01/01/2015,42.23
Spain,ESP,01/01/2015,51.48
Sweden,SWE,01/01/2015,30.24
Switzerland,CHE,01/01/2015,44
Austria,AUT,01/02/2015,36.69
Belgium,BEL,01/02/2015,50.54
Czechia,CZE,01/02/2015,36.12
Denmark,DNK,01/02/2015,29.93
Estonia,EST,01/02/2015,33.43
Finland,FIN,01/02/2015,33.15
France,FRA,01/02/2015,50.14
Germany,DEU,01/02/2015,36.69
Greece,GRC,01/02/2015,56.94
Hungary,HUN,01/02/2015,41.27
Italy,ITA,01/02/2015,54.52
Latvia,LVA,01/02/2015,39.44
Lithuania,LTU,01/02/2015,39.44
Luxembourg,LUX,01/02/2015,36.69
Netherlands,NLD,01/02/2015,46.37
Norway,NOR,01/02/2015,28.46
Poland,POL,01/02/2015,35.61
Portugal,PRT,01/02/2015,42.61
Romania,ROU,01/02/2015,37.12
Slovakia,SVK,01/02/2015,36.65
Slovenia,SVN,01/02/2015,42.02
Spain,ESP,01/02/2015,42.6
Sweden,SWE,01/02/2015,29.6
Switzerland,CHE,01/02/2015,50.86
Austria,AUT,01/03/2015,31.3
Belgium,BEL,01/03/2015,47.05
Czechia,CZE,01/03/2015,30.61
Denmark,DNK,01/03/2015,26.88
Estonia,EST,01/03/2015,30.3
Finland,FIN,01/03/2015,29.42
